Tree_ID,site_ID,date_collected,UTM_zone,Easting,Northing,elevation_m
w100y1,w100y,2009-11-18,NAD83 Zone 5,280572,2179971,92
w100y2,w100y,2009-11-18,NAD83 Zone 5,280574,2179975,92
w100y3,w100y,2009-11-18,NAD83 Zone 5,280588,2179975,91
w100y4,w100y,2009-11-18,NAD83 Zone 5,280594,2179981,91
w100y5,w100y,2009-11-18,NAD83 Zone 5,280608,2179985,91
w100y6,w100y,2009-11-18,NAD83 Zone 5,280609,2179997,90
w100y7,w100y,2009-11-18,NAD83 Zone 5,280621,2179993,90
w100y8,w100y,2009-11-18,NAD83 Zone 5,280629,2179999,89
w100y9,w100y,2009-11-18,NAD83 Zone 5,280640,2180000,89
w100y10,w100y,2009-11-18,NAD83 Zone 5,280654,2180008,88
w100o1,w100o,2009-11-16,NAD83 Zone 5,280545,2179780,98
w100o2,w100o,2009-11-16,NAD83 Zone 5,280553,2179763,98
w100o3,w100o,2009-11-16,NAD83 Zone 5,280572,2179780,97
w100o4,w100o,2009-11-16,NAD83 Zone 5,280578,2179776,97
w100o5,w100o,2009-11-16,NAD83 Zone 5,280583,2179770,98
w100o6,w100o,2009-11-16,NAD83 Zone 5,280588,2179762,98
w100o7,w100o,2009-11-16,NAD83 Zone 5,280602,2179783,97
w100o8,w100o,2009-11-16,NAD83 Zone 5,280617,2179784,97
w100o9,w100o,2009-11-16,NAD83 Zone 5,280622,2179788,96
w100o10,w100o,2009-11-16,NAD83 Zone 5,280634,2179783,96
w700y1,w700y,2009-07-17,NAD83 Zone 5,269366,2179142,725
w700y2,w700y,2009-07-17,NAD83 Zone 5,269355,2179134,727
w700y3,w700y,2009-07-17,NAD83 Zone 5,269346,2179153,728
w700y4,w700y,2009-07-17,NAD83 Zone 5,269335,2179144,729
w700y5,w700y,2009-07-17,NAD83 Zone 5,269326,2179150,728
w700y6,w700y,2009-07-17,NAD83 Zone 5,269318,2179139,725
w700y7,w700y,2009-07-17,NAD83 Zone 5,269305,2179148,730
w700y8,w700y,2009-07-17,NAD83 Zone 5,269296,2179144,727
w700y9,w700y,2009-07-17,NAD83 Zone 5,269279,2179155,727
w700y10,w700y,2009-07-17,NAD83 Zone 5,269279,2179159,732
w700o1,w700o,2009-07-15,NAD83 Zone 5,269391,2178309,731
w700o2,w700o,2009-07-15,NAD83 Zone 5,269400,2178333,729
w700o3,w700o,2009-07-15,NAD83 Zone 5,269420,2178326,719
w700o4,w700o,2009-07-15,NAD83 Zone 5,269425,2178354,710
w700o5,w700o,2009-07-15,NAD83 Zone 5,269445,2178325,725
w700o6,w700o,2009-07-15,NAD83 Zone 5,269442,2178347,729
w700o7,w700o,2009-07-15,NAD83 Zone 5,269463,2178334,727
w700o8,w700o,2009-07-15,NAD83 Zone 5,269462,2178356,730
w700o9,w700o,2009-07-15,NAD83 Zone 5,269474,2178362,730
w700o10,w700o,2009-07-15,NAD83 Zone 5,269478,2178383,725
w1100y1,w1100y,2009-07-23,NAD83 Zone 5,262242,2178443,1145
w1100y2,w1100y,2009-07-23,NAD83 Zone 5,262258,2178444,1142
w1100y3,w1100y,2009-07-23,NAD83 Zone 5,262271,2178447,1141
w1100y4,w1100y,2009-07-23,NAD83 Zone 5,262271,2178455,1139
w1100y5,w1100y,2009-07-23,NAD83 Zone 5,262288,2178454,1140
w1100y6,w1100y,2009-07-23,NAD83 Zone 5,262291,2178455,1139
w1100y7,w1100y,2009-07-23,NAD83 Zone 5,262308,2178462,1145
w1100y8,w1100y,2009-07-23,NAD83 Zone 5,262329,2178447,1141
w1100y9,w1100y,2009-07-23,NAD83 Zone 5,262327,2178453,1143
w1100y10,w1100y,2009-07-23,NAD83 Zone 5,262335,2178454,1143
w1100o1,w1100o,2009-07-23,NAD83 Zone 5,262044,2179752,1143
w1100o2,w1100o,2009-07-23,NAD83 Zone 5,262045,2179771,1144
w1100o3,w1100o,2009-07-23,NAD83 Zone 5,262048,2179771,1139
w1100o4,w1100o,2009-07-23,NAD83 Zone 5,262051,2179785,1145
w1100o5,w1100o,2009-07-23,NAD83 Zone 5,262048,2179796,1142
w1100o6,w1100o,2009-07-23,NAD83 Zone 5,262047,2179805,1140
w1100o7,w1100o,2009-07-23,NAD83 Zone 5,262054,2179817,1140
w1100o8,w1100o,2009-07-23,NAD83 Zone 5,262052,2179820,1141
w1100o9,w1100o,2009-07-23,NAD83 Zone 5,262045,2179799,1151
w1100o10,w1100o,2009-07-23,NAD83 Zone 5,262051,2179847,1151
w1800y1,w1800y,2009-07-15,NAD83 Zone 5,250957,2174888,1773
w1800y2,w1800y,2009-07-15,NAD83 Zone 5,250970,2174906,1772
w1800y3,w1800y,2009-07-15,NAD83 Zone 5,250981,2174891,1771
w1800y4,w1800y,2009-07-15,NAD83 Zone 5,250994,2174922,1767
w1800y5,w1800y,2009-07-15,NAD83 Zone 5,251001,2174904,1768
w1800y6,w1800y,2009-07-15,NAD83 Zone 5,251002,2174940,1764
w1800y7,w1800y,2009-07-15,NAD83 Zone 5,251017,2174909,1765
w1800y8,w1800y,2009-07-15,NAD83 Zone 5,251026,2174924,1763
w1800y9,w1800y,2009-07-15,NAD83 Zone 5,251040,2174890,1768
w1800y10,w1800y,2009-07-15,NAD83 Zone 5,251042,2174936,1762
w1800o1,w1800o,2009-07-15,NAD83 Zone 5,250367,2175257,1783
w1800o2,w1800o,2009-07-15,NAD83 Zone 5,250380,2175274,1786
w1800o3,w1800o,2009-07-15,NAD83 Zone 5,250384,2175247,1785
w1800o4,w1800o,2009-07-15,NAD83 Zone 5,250358,2175247,1792
w1800o5,w1800o,2009-07-15,NAD83 Zone 5,250408,2175251,1796
w1800o6,w1800o,2009-07-15,NAD83 Zone 5,250417,2175260,1790
w1800o7,w1800o,2009-07-15,NAD83 Zone 5,250391,2175265,1789
w1800o8,w1800o,2009-07-15,NAD83 Zone 5,250433,2175256,1786
w1800o9,w1800o,2009-07-15,NAD83 Zone 5,250460,2175247,1794
w1800o10,w1800o,2009-07-15,NAD83 Zone 5,250459,2175254,1778
w2400y1,w2400y,2009-07-19,NAD83 Zone 5,243112,2168331,2438
w2400y2,w2400y,2009-07-20,NAD83 Zone 5,242950,2167920,2482
w2400y3,w2400y,2009-07-21,NAD83 Zone 5,242880,2167851,2489
w2400y4,w2400y,2009-07-21,NAD83 Zone 5,243053,2167980,2470
w2400y5,w2400y,2009-07-21,NAD83 Zone 5,243059,2168536,2418
w2400y6,w2400y,2009-07-21,NAD83 Zone 5,243096,2168600,2403
w2400y7,w2400y,2009-07-20,NAD83 Zone 5,243009,2167746,2487
w2400y8,w2400y,2009-07-21,NAD83 Zone 5,243164,2168614,2403
w2400y9,w2400y,2009-07-21,NAD83 Zone 5,243144,2168631,2404
w2400y10,w2400y,2009-07-21,NAD83 Zone 5,243143,2168635,2402
w2400o1,w2400o,2009-07-19,NAD83 Zone 5,243396,2167416,2493
w2400o2,w2400o,2009-07-19,NAD83 Zone 5,243389,2167409,2502
w2400o3,w2400o,2009-07-19,NAD83 Zone 5,243424,2167530,2489
w2400o4,w2400o,2009-07-19,NAD83 Zone 5,243434,2167574,2487
w2400o5,w2400o,2009-07-19,NAD83 Zone 5,243396,2167536,2488
w2400o6,w2400o,2009-07-19,NAD83 Zone 5,243389,2167533,2486
w2400o7,w2400o,2009-07-19,NAD83 Zone 5,243399,2167547,2488
w2400o8,w2400o,2009-07-19,NAD83 Zone 5,243431,2167580,2472
w2400o9,w2400o,2009-07-19,NAD83 Zone 5,243508,2167619,2470
w2400o10,w2400o,2009-07-19,NAD83 Zone 5,243523,2167643,2474
d700y1,d700y,2009-07-19,NAD83 Zone 5,204315,2194565,697
d700y2,d700y,2009-07-19,NAD83 Zone 5,204304,2194565,693
d700y3,d700y,2009-07-19,NAD83 Zone 5,204312,2194580,693
d700y4,d700y,2009-07-19,NAD83 Zone 5,204287,2194587,688
d700y5,d700y,2009-07-19,NAD83 Zone 5,204334,2194595,690
d700y6,d700y,2009-07-19,NAD83 Zone 5,204253,2194607,689
d700y7,d700y,2009-07-19,NAD83 Zone 5,204329,2194617,691
d700y8,d700y,2009-07-19,NAD83 Zone 5,204299,2194628,687
d700y9,d700y,2009-07-19,NAD83 Zone 5,204318,2194639,692
d700y10,d700y,2009-07-19,NAD83 Zone 5,204265,2194654,693
d700o1,d700o,2009-07-19,NAD83 Zone 5,205061,2194880,703
d700o2,d700o,2009-07-19,NAD83 Zone 5,205136,2194919,701
d700o3,d700o,2009-07-19,NAD83 Zone 5,205085,2194857,698
d700o4,d700o,2009-07-19,NAD83 Zone 5,205148,2194900,700
d700o5,d700o,2009-07-19,NAD83 Zone 5,205122,2194856,704
d700o6,d700o,2009-07-19,NAD83 Zone 5,205196,2194902,707
d700o7,d700o,2009-07-19,NAD83 Zone 5,205137,2194843,710
d700o8,d700o,2009-07-19,NAD83 Zone 5,205156,2194865,705
d700o9,d700o,2009-07-19,NAD83 Zone 5,205141,2194818,710
d700o10,d700o,2009-07-19,NAD83 Zone 5,205177,2194828,728
d1700y1,d1700y,2009-11-17,NAD83 Zone 5,214977,2174259,1698
d1700y2,d1700y,2009-11-17,NAD83 Zone 5,214951,2174256,1698
d1700y3,d1700y,2009-11-17,NAD83 Zone 5,214936,2174287,1698
d1700y4,d1700y,2009-11-17,NAD83 Zone 5,214906,2174290,1698
d1700y5,d1700y,2009-11-17,NAD83 Zone 5,214923,2174331,1697
d1700y6,d1700y,2009-11-17,NAD83 Zone 5,214943,2174350,1697
d1700y7,d1700y,2009-11-17,NAD83 Zone 5,214920,2174369,1697
d1700y8,d1700y,2009-11-17,NAD83 Zone 5,214923,2174377,1696
d1700y9,d1700y,2009-11-17,NAD83 Zone 5,214907,2174446,1695
d1700y10,d1700y,2009-11-17,NAD83 Zone 5,214880,2174455,1695
