mass,river,mass_class
3.09,a,"(2.75,3.14]"
2.91,b,"(2.75,3.14]"
3.06,c,"(2.75,3.14]"
2.69,d,"(2.35,2.75]"
2.88,e,"(2.75,3.14]"
2.98,f,"(2.75,3.14]"
1.61,a,"(1.57,1.96]"
2.16,b,"(1.96,2.35]"
1.56,c,"[1.18,1.57]"
1.76,d,"(1.57,1.96]"
1.79,e,"(1.57,1.96]"
3.3,f,"(3.14,3.53]"
1.91,a,"(1.57,1.96]"
1.99,b,"(1.96,2.35]"
1.69,c,"(1.57,1.96]"
1.44,d,"[1.18,1.57]"
3.25,e,"(3.14,3.53]"
2.18,f,"(1.96,2.35]"
2.13,a,"(1.96,2.35]"
1.25,b,"[1.18,1.57]"
2.33,c,"(1.96,2.35]"
1.95,d,"(1.57,1.96]"
2.56,e,"(2.35,2.75]"
1.76,f,"(1.57,1.96]"
1.53,a,"[1.18,1.57]"
1.66,b,"(1.57,1.96]"
1.81,c,"(1.57,1.96]"
1.7,d,"(1.57,1.96]"
1.84,e,"(1.57,1.96]"
1.52,f,"[1.18,1.57]"
1.75,a,"(1.57,1.96]"
1.39,b,"[1.18,1.57]"
2.62,c,"(2.35,2.75]"
1.58,d,"(1.57,1.96]"
1.83,e,"(1.57,1.96]"
1.54,f,"[1.18,1.57]"
1.76,a,"(1.57,1.96]"
1.99,b,"(1.96,2.35]"
3.53,c,"(3.14,3.53]"
1.6,d,"(1.57,1.96]"
1.85,e,"(1.57,1.96]"
1.85,f,"(1.57,1.96]"
1.72,a,"(1.57,1.96]"
3.3,b,"(3.14,3.53]"
2.87,c,"(2.75,3.14]"
3.08,d,"(2.75,3.14]"
3.27,e,"(3.14,3.53]"
1.47,f,"[1.18,1.57]"
2.29,a,"(1.96,2.35]"
1.7,b,"(1.57,1.96]"
2.83,c,"(2.75,3.14]"
2.93,d,"(2.75,3.14]"
1.88,e,"(1.57,1.96]"
3,f,"(2.75,3.14]"
1.74,a,"(1.57,1.96]"
3.21,b,"(3.14,3.53]"
1.74,c,"(1.57,1.96]"
2.02,d,"(1.96,2.35]"
2.92,e,"(2.75,3.14]"
3.49,f,"(3.14,3.53]"
1.89,a,"(1.57,1.96]"
1.83,b,"(1.57,1.96]"
1.67,c,"(1.57,1.96]"
1.9,d,"(1.57,1.96]"
1.99,e,"(1.96,2.35]"
1.83,f,"(1.57,1.96]"
2.9,a,"(2.75,3.14]"
2.76,b,"(2.75,3.14]"
2.04,c,"(1.96,2.35]"
2.03,d,"(1.96,2.35]"
1.6,e,"(1.57,1.96]"
2.02,f,"(1.96,2.35]"
3.04,a,"(2.75,3.14]"
2.68,b,"(2.35,2.75]"
2.32,c,"(1.96,2.35]"
1.98,d,"(1.96,2.35]"
1.94,e,"(1.57,1.96]"
1.58,f,"(1.57,1.96]"
1.94,a,"(1.57,1.96]"
2.5,b,"(2.35,2.75]"
1.91,c,"(1.57,1.96]"
2.66,d,"(2.35,2.75]"
1.9,e,"(1.57,1.96]"
2.13,f,"(1.96,2.35]"
1.97,a,"(1.96,2.35]"
3.11,b,"(2.75,3.14]"
2.36,c,"(2.35,2.75]"
1.84,d,"(1.57,1.96]"
1.96,e,"(1.57,1.96]"
1.8,f,"(1.57,1.96]"
3.11,a,"(2.75,3.14]"
1.89,b,"(1.57,1.96]"
2.03,c,"(1.96,2.35]"
1.75,d,"(1.57,1.96]"
2.94,e,"(2.75,3.14]"
1.89,f,"(1.57,1.96]"
2,a,"(1.96,2.35]"
1.76,b,"(1.57,1.96]"
3.07,c,"(2.75,3.14]"
1.79,d,"(1.57,1.96]"
1.67,e,"(1.57,1.96]"
3,f,"(2.75,3.14]"
1.99,a,"(1.96,2.35]"
2.81,b,"(2.75,3.14]"
1.94,c,"(1.57,1.96]"
1.41,d,"[1.18,1.57]"
1.91,e,"(1.57,1.96]"
1.64,f,"(1.57,1.96]"
1.81,a,"(1.57,1.96]"
1.88,b,"(1.57,1.96]"
1.5,c,"[1.18,1.57]"
1.77,d,"(1.57,1.96]"
1.96,e,"(1.57,1.96]"
1.9,f,"(1.57,1.96]"
2.26,a,"(1.96,2.35]"
1.7,b,"(1.57,1.96]"
1.78,c,"(1.57,1.96]"
1.53,d,"[1.18,1.57]"
1.94,e,"(1.57,1.96]"
2.42,f,"(2.35,2.75]"
2.75,a,"(2.75,3.14]"
1.61,b,"(1.57,1.96]"
1.87,c,"(1.57,1.96]"
1.84,d,"(1.57,1.96]"
1.6,e,"(1.57,1.96]"
1.82,f,"(1.57,1.96]"
2.07,a,"(1.96,2.35]"
1.35,b,"[1.18,1.57]"
2.95,c,"(2.75,3.14]"
1.55,d,"[1.18,1.57]"
1.42,e,"[1.18,1.57]"
1.74,f,"(1.57,1.96]"
2.03,a,"(1.96,2.35]"
3,b,"(2.75,3.14]"
1.7,c,"(1.57,1.96]"
1.57,d,"[1.18,1.57]"
1.73,e,"(1.57,1.96]"
2.12,f,"(1.96,2.35]"
2.82,a,"(2.75,3.14]"
1.93,b,"(1.57,1.96]"
1.9,c,"(1.57,1.96]"
1.46,d,"[1.18,1.57]"
1.61,e,"(1.57,1.96]"
1.6,f,"(1.57,1.96]"
1.74,a,"(1.57,1.96]"
1.59,b,"(1.57,1.96]"
1.65,c,"(1.57,1.96]"
2.87,d,"(2.75,3.14]"
1.98,e,"(1.96,2.35]"
1.62,f,"(1.57,1.96]"
2.78,a,"(2.75,3.14]"
1.65,b,"(1.57,1.96]"
1.82,c,"(1.57,1.96]"
1.64,d,"(1.57,1.96]"
1.78,e,"(1.57,1.96]"
1.18,f,"[1.18,1.57]"
1.44,a,"[1.18,1.57]"
1.87,b,"(1.57,1.96]"
1.76,c,"(1.57,1.96]"
1.6,d,"(1.57,1.96]"
1.59,e,"(1.57,1.96]"
2.58,f,"(2.35,2.75]"
1.41,a,"[1.18,1.57]"
1.89,b,"(1.57,1.96]"
1.62,c,"(1.57,1.96]"
2.7,d,"(2.35,2.75]"
1.63,e,"(1.57,1.96]"
1.94,f,"(1.57,1.96]"
2.14,a,"(1.96,2.35]"
3.1,b,"(2.75,3.14]"
2.02,c,"(1.96,2.35]"
1.52,d,"[1.18,1.57]"
1.46,e,"[1.18,1.57]"
1.63,f,"(1.57,1.96]"
2.57,a,"(2.35,2.75]"
1.64,b,"(1.57,1.96]"
1.22,c,"[1.18,1.57]"
1.56,d,"[1.18,1.57]"
1.89,e,"(1.57,1.96]"
1.97,f,"(1.96,2.35]"
1.62,a,"(1.57,1.96]"
1.93,b,"(1.57,1.96]"
1.57,c,"[1.18,1.57]"
1.73,d,"(1.57,1.96]"
1.62,e,"(1.57,1.96]"
2.9,f,"(2.75,3.14]"
1.54,a,"[1.18,1.57]"
1.41,b,"[1.18,1.57]"
1.72,c,"(1.57,1.96]"
1.7,d,"(1.57,1.96]"
1.68,e,"(1.57,1.96]"
1.99,f,"(1.96,2.35]"
1.78,a,"(1.57,1.96]"
2.99,b,"(2.75,3.14]"
1.65,c,"(1.57,1.96]"
1.64,d,"(1.57,1.96]"
1.7,e,"(1.57,1.96]"
3.38,f,"(3.14,3.53]"
1.98,a,"(1.96,2.35]"
2.39,b,"(2.35,2.75]"
1.5,c,"[1.18,1.57]"
2.2,d,"(1.96,2.35]"
1.6,e,"(1.57,1.96]"
1.95,f,"(1.57,1.96]"
1.57,a,"[1.18,1.57]"
1.58,b,"(1.57,1.96]"
1.64,c,"(1.57,1.96]"
2.03,d,"(1.96,2.35]"
2.69,e,"(2.35,2.75]"
1.81,f,"(1.57,1.96]"
3.05,a,"(2.75,3.14]"
1.38,b,"[1.18,1.57]"
1.76,c,"(1.57,1.96]"
1.53,d,"[1.18,1.57]"
1.69,e,"(1.57,1.96]"
1.31,f,"[1.18,1.57]"
2.59,a,"(2.35,2.75]"
2.45,b,"(2.35,2.75]"
2.77,c,"(2.75,3.14]"
1.6,d,"(1.57,1.96]"
1.84,e,"(1.57,1.96]"
1.2,f,"[1.18,1.57]"
1.93,a,"(1.57,1.96]"
1.72,b,"(1.57,1.96]"
1.59,c,"(1.57,1.96]"
1.82,d,"(1.57,1.96]"
1.86,e,"(1.57,1.96]"
1.58,f,"(1.57,1.96]"
